 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
1,47.217350,47.217520,47.217520,47.217520,47.217520,47.217520,47.217520,47.217520,47.217520,47.217520,47.217520,
2,47.223950,47.224120,47.224120,47.224120,47.224120,47.224120,47.224120,47.224120,47.224120,47.224120,47.224120,
3,47.235360,47.235530,47.235530,47.235530,47.235530,47.235530,47.235530,47.235530,47.235530,47.235530,47.235530,
4,47.214080,47.214250,47.214250,47.214250,47.214250,47.214250,47.214250,47.214250,47.214250,47.214250,47.214250,
5,47.170820,47.170990,47.170990,47.170990,47.170990,47.170990,47.170990,47.170990,47.170990,47.170990,47.170990,
6,47.102040,47.102210,47.102210,47.102210,47.102210,47.102210,47.102210,47.102210,47.102210,47.102210,47.102210,
7,47.085560,47.085740,47.085740,47.085740,47.085740,47.085740,47.085740,47.085740,47.085740,47.085740,47.085740,
8,47.094780,47.094960,47.094960,47.094960,47.094960,47.094960,47.094960,47.094960,47.094960,47.094960,47.094960,
9,47.082950,47.083120,47.083120,47.083120,47.083120,47.083120,47.083120,47.083120,47.083120,47.083120,47.083120,
10,47.081470,47.081650,47.081650,47.081650,47.081650,47.081650,47.081650,47.081650,47.081650,47.081650,47.081650,
11,47.076270,47.076450,47.076450,47.076450,47.076450,47.076450,47.076450,47.076450,47.076450,47.076450,47.076450,
12,47.074940,47.075110,47.075110,47.075110,47.075110,47.075110,47.075110,47.075110,47.075110,47.075110,47.075110,
13,50.204710,50.204890,50.204890,50.204890,50.204890,50.204890,50.204890,50.204890,50.204890,50.204890,50.204890,
14,47.072480,47.072650,47.072650,47.072650,47.072650,47.072650,47.072650,47.072650,47.072650,47.072650,47.072650,
15,47.070510,47.070680,47.070680,47.070680,47.070680,47.070680,47.070680,47.070680,47.070680,47.070680,47.070680,
16,47.059010,47.059190,47.059190,47.059190,47.059190,47.059190,47.059190,47.059190,47.059190,47.059190,47.059190,
17,47.059270,47.059440,47.059440,47.059440,47.059440,47.059440,47.059440,47.059440,47.059440,47.059440,47.059440,
18,47.068420,47.068590,47.068590,47.068590,47.068590,47.068590,47.068590,47.068590,47.068590,47.068590,47.068590,
19,47.072590,47.072770,47.072770,47.072770,47.072770,47.072770,47.072770,47.072770,47.072770,47.072770,47.072770,
20,47.081260,47.081430,47.081430,47.081430,47.081430,47.081430,47.081430,47.081430,47.081430,47.081430,47.081430,
21,47.081830,47.082000,47.082000,47.082000,47.082000,47.082000,47.082000,47.082000,47.082000,47.082000,47.082000,
22,47.084480,47.084660,47.084660,47.084660,47.084660,47.084660,47.084660,47.084660,47.084660,47.084660,47.084660,
