Id,cluster,latitude,longitude
1,21,55.75591,173.639309
2,21,59.452707,173.415922
3,21,59.283112,169.492621
4,21,56.481197,169.687955
5,21,54.592204,170.327985
6,6,49.681185,171.263093
7,6,49.721779,174.129722
8,6,46.936101,171.217377
9,6,44.08006,171.198675
10,6,43.98985,174.15258
11,11,40.395893,168.770509
12,11,38.302124,172.472501
13,86,60.64528,136.646402
14,11,37.691404,166.46079
15,11,35.819551,168.993896
16,11,28.549546,171.732726
17,11,30.812909,170.063037
18,11,34.110978,166.702879
19,11,36.240831,164.563558
20,11,38.860523,161.980579
21,21,42.424711,164.89708
22,21,44.743102,165.085141
23,21,47.345654,165.365674
24,21,49.853485,165.525681
25,21,53.827226,165.634777
26,21,56.521791,165.581788
27,21,59.219064,165.51633
28,21,64.049797,165.01241
29,29,65.834146,158.402229
30,29,63.140482,157.933636
31,29,59.047665,157.930519
32,21,59.157721,162.096949
33,21,56.520889,161.993048
34,21,61.187441,165.429053
35,21,53.812792,161.869405
36,21,51.032527,161.787324
37,21,47.816549,161.570171
38,21,44.716039,160.862605
39,11,41.007515,158.562237
40,11,42.633095,154.394768
41,29,46.730423,156.79592
42,29,49.010926,157.619855
43,29,51.297744,157.725834
44,29,53.884058,157.925324
45,29,56.52991,157.914934
46,29,58.898819,154.673223
47,29,56.604784,154.585946
48,29,53.917435,154.502825
49,29,51.633324,153.927214
50,29,48.554464,153.305886
51,11,44.464354,150.807067
52,54,46.107976,147.58302
53,106,69.24588,159.149278
54,54,50.198989,149.780526
55,54,52.055506,150.114048
56,54,54.05275,150.535886
57,54,56.648085,150.461077
58,54,58.822141,150.320811
59,29,63.514853,150.304187
60,29,63.339846,154.363598
61,94,66.553118,155.858733
62,106,71.364005,162.088636
63,106,75.615591,156.206802
64,94,70.149781,150.909929
65,54,47.829178,144.250915
66,54,51.632422,146.405822
67,54,54.305337,147.157026
68,54,56.599372,147.347165
69,54,58.667882,147.426129
70,54,49.839052,140.931279
71,54,53.220114,142.668503
72,54,56.674246,143.192164
73,54,58.489267,143.265934
74,54,58.556022,145.372007
75,106,71.292739,157.0058
76,54,63.534699,146.112821
77,94,69.000509,146.143991
78,94,69.55981,141.314673
79,94,65.134118,140.556196
80,86,60.625434,139.667843
81,86,58.480246,139.900581
82,86,54.618365,139.430948
83,86,50.871051,138.213229
84,86,51.121835,135.181398
85,21,57.855092,165.569319
86,86,56.206057,135.50453
87,86,58.188868,135.428682
88,86,51.514247,132.056056
89,21,52.059114,165.613997
90,86,55.093771,131.402519
91,86,56.67154,130.466371
92,86,53.060443,126.277084
93,86,54.208813,123.710729
94,94,67.265775,153.66954
95,86,56.786106,125.05313
96,86,59.434665,121.35945
97,86,59.356182,126.34358
98,86,59.109008,128.742654
99,86,64.165265,121.774015
100,86,61.520315,129.36606
101,86,66.860733,122.991734
102,86,70.717201,125.9872
103,86,73.731109,133.42651
104,86,65.752957,131.133416
105,86,67.353279,132.186972
106,106,73.74013,159.725928
107,94,72.211977,149.379468
108,94,75.289032,150.265743
109,106,73.263823,154.261775
110,94,69.627467,148.310327
111,29,50.256723,157.716483
112,54,52.324331,144.574047
113,86,60.710231,133.073247
114,94,71.383851,147.460417
